Type,Program,Template,Hours Charged,
GTO,1193,MIRI Imaging,7.23,
GTO,1193,NIRCam Coronagraphic Imaging,21.34,
GTO,1194,MIRI Coronagraphic Imaging,8.84,
GTO,1194,NIRCam Coronagraphic Imaging,14.54,
GTO,1195,NIRCam Coronagraphic Imaging,4.62,
GTO,1198,NIRCam Imaging,9,
GTO,1198,NIRSpec IFU Spectroscopy,20.9,
GTO,1199,NIRCam Imaging,4.53,
GTO,1199,NIRSpec MultiObject Spectroscopy,25.55,
GTO,1200,NIRISS Aperture Masking Interferometry,7.44,
GTO,1201,NIRISS Single-Object Slitless Spectroscopy,182.72,
GTO,1201,NIRSpec Bright Object Time Series,16.7,
GTO,1202,NIRISS Wide Field Slitless Spectroscopy,18.87,
GTO,1204,MIRI Medium Resolution Spectroscopy,12.14,
GTO,1205,NIRCam Imaging,7.13,
GTO,1205,NIRSpec IFU Spectroscopy,25.28,
GTO,1206,MIRI Medium Resolution Spectroscopy,10.02,
GTO,1207,MIRI Imaging,58.01,
GTO,1207,NIRSpec MultiObject Spectroscopy,20.8,
GTO,1208,NIRCam Imaging,53.24,
GTO,1208,NIRISS Wide Field Slitless Spectroscopy,125.16,
GTO,1208,NIRSpec IFU Spectroscopy,7,
GTO,1208,NIRSpec MultiObject Spectroscopy,21.5,
GTO,1209,NIRISS Single-Object Slitless Spectroscopy,4.04,
GTO,1210,NIRSpec MultiObject Spectroscopy,73.23,
GTO,1211,NIRSpec MultiObject Spectroscopy,29.27,
GTO,1212,NIRSpec MultiObject Spectroscopy,27.06,
GTO,1213,NIRSpec MultiObject Spectroscopy,16.48,
GTO,1214,NIRSpec MultiObject Spectroscopy,16.46,
GTO,1215,NIRSpec IFU Spectroscopy,8.15,
GTO,1215,NIRSpec MultiObject Spectroscopy,16.45,
GTO,1216,NIRSpec IFU Spectroscopy,118.42,
GTO,1217,NIRSpec IFU Spectroscopy,69.99,
GTO,1218,NIRSpec IFU Spectroscopy,8.82,
GTO,1219,MIRI Imaging,1.1,
GTO,1219,MIRI Medium Resolution Spectroscopy,4.23,
GTO,1219,NIRSpec IFU Spectroscopy,3.89,
GTO,1219,NIRSpec MultiObject Spectroscopy,7.15,
GTO,1220,NIRSpec IFU Spectroscopy,6.18,
GTO,1222,NIRSpec Fixed Slit Spectroscopy,13.6,
GTO,1222,NIRSpec IFU Spectroscopy,8.26,
GTO,1222,NIRSpec MultiObject Spectroscopy,7.15,
GTO,1223,NIRSpec IFU Spectroscopy,2.21,
GTO,1224,NIRSpec Bright Object Time Series,50.1,
GTO,1225,NIRSpec MultiObject Spectroscopy,3.43,
GTO,1226,NIRSpec MultiObject Spectroscopy,5,
GTO,1227,MIRI Imaging,9.74,
GTO,1227,MIRI Medium Resolution Spectroscopy,3.35,
GTO,1227,NIRCam Imaging,4.31,
GTO,1227,NIRSpec MultiObject Spectroscopy,9.57,
GTO,1228,NIRSpec MultiObject Spectroscopy,8,
GTO,1229,NIRCam Imaging,3.05,
GTO,1229,NIRSpec MultiObject Spectroscopy,3.95,
GTO,1230,MIRI Medium Resolution Spectroscopy,1.64,
GTO,1230,NIRCam Imaging,2.05,
GTO,1230,NIRISS Aperture Masking Interferometry,1.39,
GTO,1230,NIRSpec Fixed Slit Spectroscopy,7.36,
GTO,1231,NIRSpec Fixed Slit Spectroscopy,4.62,
GTO,1231,NIRSpec IFU Spectroscopy,4.35,
GTO,1232,MIRI Imaging,2.53,
GTO,1232,MIRI Medium Resolution Spectroscopy,3.78,
GTO,1232,NIRSpec IFU Spectroscopy,2.68,
GTO,1233,MIRI Imaging,4.68,
GTO,1233,NIRCam Imaging,1.29,
GTO,1234,MIRI Imaging,12.69,
GTO,1234,NIRCam Imaging,4.23,
GTO,1235,MIRI Imaging,5.1,
GTO,1235,MIRI Medium Resolution Spectroscopy,3.96,
GTO,1235,NIRCam Imaging,4.31,
GTO,1236,MIRI Medium Resolution Spectroscopy,12,
GTO,1237,MIRI Imaging,6.88,
GTO,1237,NIRCam Imaging,1.12,
GTO,1238,MIRI Imaging,0.96,
GTO,1238,MIRI Medium Resolution Spectroscopy,6.04,
GTO,1239,MIRI Imaging,1.27,
GTO,1239,MIRI Medium Resolution Spectroscopy,6.73,
GTO,1240,MIRI Imaging,1.18,
GTO,1240,MIRI Low Resolution Spectroscopy,2.67,
GTO,1240,NIRSpec IFU Spectroscopy,3.04,
GTO,1241,MIRI Coronagraphic Imaging,19,
GTO,1242,NIRISS Aperture Masking Interferometry,13.14,
GTO,1243,NIRCam Wide Field Slitless Spectroscopy,106.72,
GTO,1244,MIRI Medium Resolution Spectroscopy,2.1,
GTO,1244,NIRCam Imaging,2.78,
GTO,1244,NIRSpec IFU Spectroscopy,4.13,
GTO,1245,MIRI Low Resolution Spectroscopy,2,
GTO,1245,MIRI Medium Resolution Spectroscopy,1.76,
GTO,1245,NIRCam Imaging,2.17,
GTO,1245,NIRSpec Fixed Slit Spectroscopy,1.95,
GTO,1246,MIRI Medium Resolution Spectroscopy,4.23,
GTO,1247,MIRI Medium Resolution Spectroscopy,5.92,
GTO,1247,NIRCam Imaging,3.34,
GTO,1247,NIRSpec IFU Spectroscopy,2.57,
GTO,1248,MIRI Medium Resolution Spectroscopy,5.29,
GTO,1248,NIRSpec IFU Spectroscopy,2.67,
GTO,1249,MIRI Medium Resolution Spectroscopy,5.42,
GTO,1250,MIRI Imaging,0.68,
GTO,1250,MIRI Medium Resolution Spectroscopy,2.52,
GTO,1250,NIRCam Imaging,2.78,
GTO,1250,NIRSpec IFU Spectroscopy,2.48,
GTO,1251,MIRI Medium Resolution Spectroscopy,1.83,
GTO,1251,NIRCam Imaging,7.22,
GTO,1251,NIRSpec IFU Spectroscopy,3.69,
GTO,1252,MIRI Medium Resolution Spectroscopy,1.74,
GTO,1252,NIRCam Imaging,1.36,
GTO,1252,NIRSpec IFU Spectroscopy,6.98,
GTO,1253,NIRSpec IFU Spectroscopy,4.95,
GTO,1254,MIRI Imaging,7.61,
GTO,1254,MIRI Low Resolution Spectroscopy,0.71,
GTO,1254,NIRSpec IFU Spectroscopy,2.78,
GTO,1255,NIRCam Imaging,2.19,
GTO,1256,NIRCam Imaging,30.43,
GTO,1257,MIRI Medium Resolution Spectroscopy,14.67,
GTO,1257,NIRCam Imaging,2.12,
GTO,1257,NIRSpec IFU Spectroscopy,5.7,
GTO,1258,NIRCam Imaging,6.11,
GTO,1260,NIRISS Aperture Masking Interferometry,4.4,
GTO,1262,MIRI Imaging,2.35,
GTO,1262,MIRI Medium Resolution Spectroscopy,18.57,
GTO,1262,NIRSpec IFU Spectroscopy,16.78,
GTO,1263,MIRI Imaging,1.1,
GTO,1263,MIRI Medium Resolution Spectroscopy,4.23,
GTO,1263,NIRSpec IFU Spectroscopy,4.41,
GTO,1264,MIRI Imaging,1.64,
GTO,1264,MIRI Medium Resolution Spectroscopy,21.53,
GTO,1264,NIRSpec IFU Spectroscopy,9.48,
GTO,1265,MIRI Imaging,0.84,
GTO,1265,MIRI Medium Resolution Spectroscopy,2.45,
GTO,1265,NIRSpec IFU Spectroscopy,2.14,
GTO,1266,MIRI Medium Resolution Spectroscopy,1.83,
GTO,1266,NIRSpec IFU Spectroscopy,3.99,
GTO,1267,MIRI Medium Resolution Spectroscopy,2.63,
GTO,1267,NIRSpec IFU Spectroscopy,3.85,
GTO,1268,MIRI Medium Resolution Spectroscopy,2.44,
GTO,1268,NIRSpec IFU Spectroscopy,3.39,
GTO,1269,MIRI Medium Resolution Spectroscopy,3.22,
GTO,1269,NIRSpec IFU Spectroscopy,1.98,
GTO,1270,MIRI Imaging,0.24,
GTO,1270,MIRI Medium Resolution Spectroscopy,2.16,
GTO,1270,NIRSpec IFU Spectroscopy,5.8,
GTO,1271,NIRCam Time Series,1.9,
GTO,1272,MIRI Imaging,0.78,
GTO,1272,MIRI Medium Resolution Spectroscopy,7.01,
GTO,1272,NIRSpec IFU Spectroscopy,7.41,
GTO,1273,MIRI Imaging,2.85,
GTO,1273,MIRI Low Resolution Spectroscopy,2.56,
GTO,1273,NIRSpec IFU Spectroscopy,10.09,
GTO,1274,NIRCam Grism Time Series,68.78,
GTO,1275,MIRI Imaging,1.24,
GTO,1275,MIRI Low Resolution Spectroscopy,0.76,
GTO,1275,NIRSpec IFU Spectroscopy,1.25,
GTO,1276,MIRI Imaging,1.43,
GTO,1276,MIRI Low Resolution Spectroscopy,4.57,
GTO,1276,NIRCam Imaging,1.34,
GTO,1276,NIRSpec IFU Spectroscopy,2.58,
GTO,1277,MIRI Coronagraphic Imaging,11.58,
GTO,1277,MIRI Low Resolution Spectroscopy,0.99,
GTO,1277,MIRI Medium Resolution Spectroscopy,1.88,
GTO,1277,NIRSpec IFU Spectroscopy,3.26,
GTO,1278,MIRI Medium Resolution Spectroscopy,5.54,
GTO,1279,MIRI Imaging,24.4,
GTO,1280,MIRI Low Resolution Spectroscopy,10.28,
GTO,1281,MIRI Low Resolution Spectroscopy,8.08,
GTO,1281,NIRSpec Bright Object Time Series,16.89,
GTO,1282,MIRI Coronagraphic Imaging,3.19,
GTO,1282,MIRI Medium Resolution Spectroscopy,94.97,
GTO,1282,NIRSpec IFU Spectroscopy,4.31,
GTO,1283,MIRI Imaging,59.87,
GTO,1284,MIRI Imaging,1.15,
GTO,1284,MIRI Medium Resolution Spectroscopy,8.4,
GTO,1286,NIRSpec MultiObject Spectroscopy,141.44,
GTO,1287,NIRSpec MultiObject Spectroscopy,71.25,
ERS,1288,MIRI Imaging,6.66,
ERS,1288,MIRI Medium Resolution Spectroscopy,6.61,
ERS,1288,NIRCam Imaging,1.39,
ERS,1288,NIRSpec IFU Spectroscopy,15.9,
GTO,1290,MIRI Medium Resolution Spectroscopy,37.24,
GTO,1290,NIRSpec IFU Spectroscopy,1.4,
GTO,1292,NIRSpec Fixed Slit Spectroscopy,7.95,
GTO,1293,MIRI Imaging,3.72,
GTO,1293,MIRI Medium Resolution Spectroscopy,6,
GTO,1294,MIRI Medium Resolution Spectroscopy,9.27,
GTO,1304,NIRCam Imaging,4.16,
GTO,1305,NIRCam Imaging,5.27,
GTO,1306,NIRCam Imaging,1.44,
ERS,1309,MIRI Low Resolution Spectroscopy,2.49,
ERS,1309,MIRI Medium Resolution Spectroscopy,5.85,
ERS,1309,NIRCam Wide Field Slitless Spectroscopy,14.19,
ERS,1309,NIRSpec Fixed Slit Spectroscopy,2.72,
ERS,1309,NIRSpec IFU Spectroscopy,5.83,
GTO,1312,MIRI Low Resolution Spectroscopy,8.99,
GTO,1312,NIRISS Single-Object Slitless Spectroscopy,8.96,
GTO,1312,NIRSpec Bright Object Time Series,18.01,
ERS,1324,NIRISS Wide Field Slitless Spectroscopy,13.89,
ERS,1324,NIRSpec MultiObject Spectroscopy,19.98,
ERS,1328,MIRI Imaging,6.27,
ERS,1328,MIRI Medium Resolution Spectroscopy,8.07,
ERS,1328,NIRCam Imaging,4.38,
ERS,1328,NIRSpec IFU Spectroscopy,12.25,
GTO,1331,NIRSpec Bright Object Time Series,22.2,
ERS,1334,NIRCam Imaging,27.06,
ERS,1335,MIRI Medium Resolution Spectroscopy,14.62,
ERS,1335,NIRSpec IFU Spectroscopy,12.97,
ERS,1345,MIRI Imaging,17.67,
ERS,1345,NIRCam Wide Field Slitless Spectroscopy,11.63,
ERS,1345,NIRSpec MultiObject Spectroscopy,33.68,
ERS,1349,MIRI Medium Resolution Spectroscopy,22.08,
ERS,1349,NIRISS Aperture Masking Interferometry,8.61,
GTO,1353,MIRI Low Resolution Spectroscopy,23.9,
GTO,1353,NIRISS Single-Object Slitless Spectroscopy,23.96,
GTO,1353,NIRSpec Bright Object Time Series,23.98,
ERS,1355,MIRI Imaging,6.6,
ERS,1355,MIRI Medium Resolution Spectroscopy,15.75,
ERS,1355,NIRCam Imaging,3.92,
ERS,1355,NIRSpec IFU Spectroscopy,28.42,
ERS,1364,NIRSpec IFU Spectroscopy,8.51,
ERS,1366,MIRI Low Resolution Spectroscopy,29.51,
ERS,1366,NIRCam Grism Time Series,10.54,
ERS,1366,NIRISS Single-Object Slitless Spectroscopy,19.14,
ERS,1366,NIRSpec Bright Object Time Series,21.19,
ERS,1373,MIRI Medium Resolution Spectroscopy,8.49,
ERS,1373,NIRCam Imaging,8.09,
ERS,1373,NIRISS Aperture Masking Interferometry,1.71,
ERS,1373,NIRSpec IFU Spectroscopy,9.85,
ERS,1386,MIRI Coronagraphic Imaging,18.42,
ERS,1386,MIRI Medium Resolution Spectroscopy,2.1,
ERS,1386,NIRCam Coronagraphic Imaging,20.44,
ERS,1386,NIRCam Imaging,0.94,
ERS,1386,NIRISS Aperture Masking Interferometry,7,
ERS,1386,NIRSpec IFU Spectroscopy,1.43,
GTO,1411,MIRI Coronagraphic Imaging,5.39,
GTO,1411,NIRCam Coronagraphic Imaging,13.45,
GTO,1412,NIRCam Coronagraphic Imaging,11.91,
GTO,1413,MIRI Coronagraphic Imaging,7.93,
GTO,1414,NIRSpec IFU Spectroscopy,6.7,
GTO,1415,NIRCam Imaging,0.95,
GTO,1415,NIRSpec Fixed Slit Spectroscopy,4.68,
